fecha,pm1_ugm3,pm25_ugm3,pm10_ugm3,temperatura_c,humedad_pct,temperatura_interna_c,humedad_interna_pct,relay,senal
2026-07-29 17:19:12,0,0,0,19.2,46.3,23.2,34.9,0,24
2026-07-29 17:19:22,0,0,0,19.3,46,23.3,34.9,0,24
2026-07-30 10:20:55,2,4,4,14.2,51.3,18,40.9,0,20
2026-07-30 10:25:55,0,1,1,16.2,48.4,18.5,41.3,0,20
2026-07-30 10:30:55,0,0,0,17.2,46.7,19,40.3,0,20
2026-07-30 10:35:55,0,2,3,17.9,45.7,19.5,40,0,20
2026-07-30 10:40:55,0,4,4,18.4,44.8,20,39.6,0,20
2026-07-30 10:45:55,0,2,2,18.9,44.3,20.4,39.3,0,20
2026-07-30 10:50:55,3,5,5,19.3,43.7,20.8,38.5,0,20
2026-07-30 10:55:55,5,8,11,19.6,43.5,21.1,38.2,0,20
2026-07-30 11:00:55,4,11,11,19.9,43.3,21.4,38,0,23
2026-07-30 11:05:55,1,4,5,20.1,42.5,21.7,37.3,0,23
2026-07-30 11:10:56,1,4,5,20.4,42.5,21.9,37.5,0,23
2026-07-30 11:15:55,1,4,5,20.5,41.7,22.2,36.5,0,20
2026-07-30 11:20:55,2,5,5,20.7,41.6,22.4,36.6,0,23
2026-07-30 11:25:55,2,5,5,20.9,41.5,22.6,36.3,0,23
2026-07-30 11:30:56,2,4,4,21.1,41.2,22.8,36.2,0,20
2026-07-30 11:35:56,2,6,6,21.2,41.2,23,36.3,0,23
2026-07-30 11:40:56,1,6,8,21.4,41.1,23.2,36.2,0,23
2026-07-30 11:45:56,2,6,7,21.6,40.9,23.4,35.5,0,23
2026-07-30 11:50:55,3,8,8,21.7,40.7,23.6,35.5,0,23
2026-07-30 11:55:55,1,6,6,21.8,40.9,23.8,35.6,0,20
2026-07-30 12:00:56,0,4,5,22,40.8,24,35.4,0,20
2026-07-30 12:05:55,1,3,3,22.1,41,24.2,35.6,0,20
2026-07-30 12:10:55,3,5,5,22.3,39.8,24.4,34.4,0,20
2026-07-30 12:15:55,4,6,6,22.4,39.7,24.5,34.3,0,20
2026-07-30 12:20:56,3,8,8,22.6,39.4,24.7,34,0,24
2026-07-30 12:25:55,5,9,9,22.7,39.4,24.9,33.8,0,20
2026-07-30 12:30:56,7,15,16,22.8,38.9,25,33.3,0,24
2026-07-30 12:35:56,8,17,17,22.9,38.8,25.1,33.4,0,21
2026-07-30 12:40:55,7,19,19,23,38.8,25.3,33.4,0,21
2026-07-30 12:45:56,17,26,26,23.1,38.4,25.3,32.8,0,20
2026-07-30 12:50:56,16,26,27,23.1,37.9,25.4,32.3,0,23
2026-07-30 12:55:55,21,31,34,23.2,37.6,25.5,32.1,0,23
2026-07-30 13:00:55,18,26,28,23.2,37.8,25.5,32.2,0,21
2026-07-30 13:05:55,18,28,29,23.2,37.5,25.5,31.9,0,23
2026-07-30 13:10:56,20,32,34,23.3,37.7,25.5,32.3,0,20
2026-07-30 13:15:56,22,33,37,23.3,37.6,25.5,32,0,23
2026-07-30 13:20:56,22,33,37,23.4,37.6,25.6,32.2,0,20
2026-07-30 13:25:56,22,34,38,23.4,37.4,25.6,31.7,0,21
2026-07-30 13:30:56,25,37,43,23.5,36.9,25.7,31.6,0,21
2026-07-30 13:35:56,23,35,39,23.6,37.2,25.8,31.7,0,21
2026-07-30 13:40:56,25,38,45,23.7,37.4,26,31.7,0,21
2026-07-30 13:45:56,24,36,42,23.8,37.2,26.1,31.6,0,21
2026-07-30 13:50:56,25,38,45,23.9,37.1,26.3,31.4,0,21
2026-07-30 13:55:56,23,35,38,24,37.1,26.5,31.2,0,23
2026-07-30 14:00:56,22,33,36,24.2,36.8,26.7,31.1,0,21
2026-07-30 14:05:56,19,31,33,24.4,36.8,26.7,31.1,0,24
2026-07-30 14:10:56,20,28,28,24.4,36.6,26.4,31.2,0,21
2026-07-30 14:15:56,14,24,27,24.1,36.5,26.1,31.3,0,21
2026-07-30 14:20:56,15,25,26,23.8,36.5,25.7,31.4,0,21
2026-07-30 14:25:56,9,23,23,23.5,36.2,25.4,31.5,0,21
2026-07-30 14:30:56,9,22,22,23.2,36.8,25,32,0,20
2026-07-30 14:35:56,16,28,29,22.9,36.4,24.6,31.8,0,23
2026-07-30 14:40:56,6,18,18,22.7,36.5,24.3,31.8,0,23
2026-07-30 14:45:56,5,9,9,22.4,36.7,23.9,32,0,23
2026-07-30 14:50:56,3,7,7,22.1,37,23.6,32.6,0,23
2026-07-30 14:55:56,3,8,8,21.9,37.5,23.3,32.9,0,23
2026-07-30 15:00:56,3,4,4,21.6,37.4,23,32.9,0,20
2026-07-30 15:05:56,2,5,5,21.4,37.5,22.8,33.1,0,20
2026-07-30 15:10:56,1,3,3,21.3,37.6,22.5,33.6,0,23
2026-07-30 15:15:56,2,4,4,21.1,37.8,22.4,33.8,0,23
2026-07-30 15:20:56,1,4,4,20.9,37.9,22.1,34.1,0,23
2026-07-30 15:25:56,1,3,4,20.9,38.3,22,34.4,0,20
2026-07-30 15:30:56,2,5,5,20.7,38.4,21.8,34.6,0,23
