fecha,pm1_ugm3,pm25_ugm3,pm10_ugm3,temperatura_c,humedad_pct,temperatura_interna_c,humedad_interna_pct,relay,senal
2026-07-29 16:24:51,0,0,0,20,40.9,22.6,37.1,0,23
2026-07-29 16:25:53,0,0,0,20.2,40.8,22.7,37.1,0,26
2026-07-29 16:27:02,0,0,0,20.4,40.4,22.7,37,0,23
2026-07-29 16:29:51,0,0,0,20.8,39.2,22.9,36.9,0,26
2026-07-29 16:32:18,0,0,0,21,38.7,23,36.7,0,26
2026-07-29 16:37:19,0,0,0,21.6,34.7,23.9,34.1,0,29
2026-07-29 16:39:35,0,0,0,23.1,36.3,28.9,24.4,0,25
2026-07-29 16:42:18,0,0,0,24.4,32.9,31.1,22.9,0,26
2026-07-29 16:43:08,0,0,0,24.7,31.6,31.3,22.9,0,26
2026-07-29 16:47:20,0,0,0,26.4,29.9,32.6,22.8,0,26
2026-07-29 16:52:21,0,0,0,26.8,31.1,32.1,23.8,0,24
2026-07-29 16:57:21,0,0,0,26.8,30.3,30.3,25.8,0,26
2026-07-29 16:59:42,0,0,0,26.5,29.8,29,27.2,0,27
2026-07-29 17:00:11,0,0,0,26.4,29.8,28.8,27.3,0,24
2026-07-29 17:00:18,0,0,0,26.4,29.6,28.8,27.4,0,24
2026-07-29 17:05:12,0,0,0,26.8,29.6,30.5,25.5,0,27
2026-07-30 16:03:48,1,1,1,16.9,49.4,21.6,42.5,0,29
2026-07-30 16:08:08,1,2,2,19.3,41.7,22,41.3,0,28
2026-07-30 16:13:09,0,1,1,20,39.9,21.9,40.6,0,28
2026-07-30 16:18:09,0,2,2,20.1,38.9,21.8,40.2,0,28
2026-07-30 16:23:09,0,0,1,20.3,37.8,21.7,39.9,0,28
2026-07-30 16:28:09,0,3,4,20.3,37.8,21.6,39.8,0,28
2026-07-30 16:33:09,0,1,2,20.3,37.6,21.5,39.6,0,28
2026-07-30 16:38:08,0,2,2,20.2,37.3,21.3,39.4,0,28
2026-07-30 16:43:09,0,3,3,20.2,37.8,21.2,39.4,0,28
2026-07-30 16:48:09,0,2,2,20.1,37.5,21.1,39.4,0,28
2026-07-30 16:53:09,0,3,4,20,37.5,21,39.2,0,28
2026-07-30 16:58:08,0,2,2,19.9,38,20.9,39.4,0,28
2026-07-30 17:03:09,0,1,1,19.9,37.8,20.8,39.3,0,28
2026-07-30 17:08:08,0,2,3,19.8,38.2,20.7,39.4,0,28
2026-07-30 17:13:09,0,2,2,19.7,38.3,20.6,39.4,0,28
2026-07-30 17:18:09,1,3,3,19.6,38.6,20.5,39.4,0,28
2026-07-30 17:23:09,1,3,3,19.6,38.4,20.4,39.4,0,28
2026-07-30 17:28:08,1,3,3,19.5,38.6,20.3,39.5,0,28
2026-07-30 17:33:09,0,4,4,19.4,38.7,20.2,39.5,0,28
2026-07-30 17:38:09,1,4,4,19.3,38.8,20.1,39.6,0,30
2026-07-30 17:43:09,1,3,4,19.3,39,20,39.7,0,30
2026-07-30 17:48:09,0,5,6,19.2,39.2,20,39.7,0,30
2026-07-30 17:53:09,0,2,3,19.1,39.3,19.9,39.8,0,30
2026-07-30 17:58:09,1,5,5,19.1,39.7,19.8,40,0,30
2026-07-30 18:03:09,1,3,3,19,40.1,19.7,40.3,0,30
2026-07-30 18:08:09,1,4,4,18.9,40.6,19.5,40.5,0,30
2026-07-30 18:13:09,2,3,4,18.8,40.8,19.4,40.8,0,30
2026-07-30 18:18:09,0,4,4,18.7,41.2,19.3,40.9,0,30
2026-07-30 18:23:09,8,18,20,18.6,41.3,19.1,41.2,0,30
2026-07-30 18:28:09,2,6,8,18.5,41.5,19,41.4,0,30
2026-07-30 18:33:09,1,2,3,18.4,41.6,18.8,41.5,0,30
2026-07-30 18:38:09,0,2,3,18.3,41.9,18.7,41.7,0,30
2026-07-30 18:43:09,2,5,5,18.2,41.9,18.6,41.9,0,30
2026-07-30 18:48:09,0,3,3,18.1,42,18.5,42,0,30
2026-07-30 18:53:09,0,3,3,18,42.4,18.4,42.2,0,30
2026-07-30 18:58:09,0,3,6,17.9,42.5,18.3,42.3,0,30
2026-07-30 19:03:09,0,4,5,17.8,42.8,18.2,42.5,0,30
2026-07-30 19:08:09,0,8,9,17.7,42.8,18,42.7,0,30
2026-07-30 19:13:09,0,4,4,17.6,43.2,17.9,42.9,0,30
2026-07-30 19:18:09,1,3,3,17.5,43.4,17.8,43.1,0,30
2026-07-30 19:23:09,2,4,7,17.5,43.3,17.7,43.2,0,30
2026-07-30 19:28:09,1,4,5,17.4,43.7,17.6,43.3,0,30
2026-07-30 19:33:09,1,3,3,19.5,43.3,25.1,32.7,0,30
2026-07-30 19:38:09,0,2,3,21.3,37.9,26.6,29.2,0,30
2026-07-30 19:43:09,0,0,1,22.2,36.3,26.9,28.9,0,30
2026-07-30 19:48:09,5,13,15,21.4,35.6,23.2,33.4,0,30
2026-07-30 19:53:10,0,2,3,20.3,36.6,20.8,37.1,0,30
2026-07-30 19:58:10,0,1,2,22.2,36.2,28.1,27.9,1,30
2026-07-30 20:03:09,0,1,2,23.7,33.6,30.3,25.2,0,30
2026-07-30 20:08:09,0,1,2,24,32.4,28.9,26.3,1,30
2026-07-30 20:13:09,0,1,2,24.9,32,30.7,24.5,0,30
2026-07-30 20:18:09,0,3,3,25.4,31,31.4,23.8,0,29
2026-07-30 20:23:09,0,2,2,25.8,30.4,31.7,23.5,0,29
2026-07-30 20:28:09,0,1,2,26,30.2,31.8,23.4,0,29
2026-07-30 20:33:10,0,0,2,26.2,29.9,31.8,23.2,0,29
2026-07-30 20:38:10,0,1,1,26.2,29.5,31.7,23.2,0,29
2026-07-30 20:43:09,0,0,1,26.3,29.2,31.8,23.1,0,29
2026-07-30 20:48:09,0,1,1,26.3,29.3,31.8,23,0,29
2026-07-30 20:53:09,0,0,0,26.3,28.9,31.9,22.8,0,29
2026-07-30 20:58:09,0,0,0,26.4,29,31.8,22.8,0,29
2026-07-30 21:03:10,0,1,1,26.3,29.2,31.7,22.8,0,29
2026-07-30 21:08:09,0,0,0,26.3,28.7,31.7,22.8,0,29
2026-07-30 21:13:09,0,0,0,26.3,28.7,31.6,22.7,1,29
2026-07-30 21:18:10,0,0,1,26.2,28.7,31.5,22.5,0,29
2026-07-30 21:23:09,0,2,3,26.1,28.8,31.1,22.9,0,29
2026-07-30 21:28:09,1,2,2,26.1,28.8,31.1,22.7,0,29
2026-07-30 21:33:09,0,1,1,26,28.9,31.1,22.7,0,29
2026-07-30 21:38:09,0,2,2,25.9,28.6,31,22.7,0,29
2026-07-30 21:43:09,0,1,1,25.9,28.8,31,22.7,0,29
2026-07-30 21:48:10,0,4,4,25.9,28.9,31,22.7,0,29
2026-07-30 21:53:10,0,1,1,25.9,28.8,31.1,22.6,1,29
2026-07-30 21:58:09,0,1,1,25.9,28.8,31.2,22.6,0,29
2026-07-30 22:03:10,1,5,5,25.9,28.9,31.1,22.6,0,29
2026-07-30 22:08:10,1,4,4,25.9,28.9,31.3,22.5,0,29
2026-07-30 22:13:10,1,4,4,25.9,29.1,31.3,22.5,0,29
2026-07-30 22:18:10,0,3,4,25.9,28.9,31.3,22.5,0,29
2026-07-30 22:23:09,0,4,4,26,29.2,31.4,22.5,0,29
2026-07-30 22:28:10,3,7,7,25.9,29.1,31.3,22.5,0,29
2026-07-30 22:33:09,2,7,7,26,29,31.4,22.4,0,29
2026-07-30 22:38:10,2,4,5,26,29,31.5,22.3,0,29
2026-07-30 22:43:09,1,3,4,26,28.9,31.4,22.4,0,29
2026-07-30 22:48:10,1,4,4,25.9,29,31.3,22.4,1,29
2026-07-30 22:53:09,1,4,4,25.9,29,31.4,22.3,0,29
2026-07-30 22:58:10,2,5,5,25.9,28.8,31.3,22.4,0,29
2026-07-30 23:03:09,1,4,4,25.9,28.9,31.2,22.5,0,29
2026-07-30 23:08:10,1,4,4,25.8,29,31.2,22.5,0,29
2026-07-30 23:13:10,0,3,3,25.8,29.2,31.3,22.5,0,29
2026-07-30 23:18:09,0,1,2,25.9,28.9,31.4,22.4,0,29
2026-07-30 23:23:10,0,2,2,25.9,28.8,31.3,22.4,0,29
2026-07-30 23:28:09,0,1,1,26,28.9,31.4,22.2,0,29
2026-07-30 23:33:10,0,2,2,25.9,28.7,31.3,22.3,0,29
2026-07-30 23:38:10,0,2,2,25.9,28.6,31.3,22.3,0,29
2026-07-30 23:43:09,0,1,1,25.8,28.7,31.2,22.4,0,29
2026-07-30 23:48:10,0,2,3,25.9,29,31.3,22.3,0,29
2026-07-30 23:53:10,0,3,3,25.8,28.8,31.2,22.4,0,29
2026-07-30 23:58:10,0,3,3,25.8,29,31.2,22.4,0,29
2026-07-31 00:03:10,0,3,4,25.8,28.7,31.3,22.3,0,29
2026-07-31 00:08:10,0,4,4,25.9,28.7,31.3,22.3,0,29
2026-07-31 00:13:10,2,4,4,25.8,29,31.2,22.4,0,29
2026-07-31 00:18:10,0,2,3,25.8,28.9,31.2,22.3,0,29
2026-07-31 00:23:10,0,4,4,25.8,28.8,31.3,22.2,0,29
2026-07-31 00:28:10,1,2,2,25.8,29,31.2,22.3,0,29
2026-07-31 00:33:10,0,3,3,25.8,28.9,31.1,22.3,0,29
2026-07-31 00:38:10,0,5,5,25.8,28.8,31.2,22.2,0,29
2026-07-31 00:43:10,0,3,3,25.7,28.8,31.1,22.2,0,29
2026-07-31 00:48:10,0,3,3,25.7,28.9,31.1,22.2,0,29
2026-07-31 00:53:10,0,5,5,25.7,28.8,31.1,22.2,0,29
2026-07-31 00:58:10,0,3,3,25.6,29,31,22.2,0,29
2026-07-31 01:03:10,0,3,5,25.6,29.2,31.1,22.2,0,29
2026-07-31 01:08:10,0,3,3,25.6,29.1,30.9,22.4,0,29
2026-07-31 01:13:10,0,3,3,25.6,28.9,30.9,22.4,0,29
2026-07-31 01:18:10,1,3,3,25.5,28.9,30.9,22.3,0,29
2026-07-31 01:23:10,0,4,4,25.5,29.1,30.9,22.3,0,29
2026-07-31 01:28:10,0,4,4,25.5,29.3,30.8,22.4,0,29
2026-07-31 01:33:10,0,3,3,25.5,29.1,30.9,22.3,1,29
2026-07-31 01:38:10,0,3,4,25.5,29.2,30.9,22.3,0,29
2026-07-31 01:43:10,0,3,5,25.5,29,30.9,22.3,0,29
2026-07-31 01:48:10,0,4,5,25.4,29.2,30.8,22.4,0,29
2026-07-31 01:53:10,2,4,4,25.4,29.1,30.8,22.4,0,29
2026-07-31 01:58:10,1,5,6,25.3,29.3,30.7,22.5,0,29
2026-07-31 02:03:10,3,5,5,25.3,29.4,30.5,22.6,0,29
2026-07-31 02:08:10,0,4,4,25.4,29.3,30.6,22.5,0,29
2026-07-31 02:13:10,1,2,3,25.3,29.3,30.6,22.5,0,29
2026-07-31 02:18:10,1,5,5,25.3,29.3,30.6,22.5,0,29
2026-07-31 02:23:11,0,3,3,25.2,29.3,30.5,22.6,0,29
2026-07-31 02:28:10,0,3,3,25.2,29.3,30.4,22.7,0,29
